หมวด (Category),ช่วงรายละเอียด (Resolution range),กลุ่ม/แบนด์ (Group/Band),ดาวเทียม/โหมด (Satellite/Mode),รายละเอียดภาพ (Resolution),Polarization,ประเภทราคา 1 (Price type 1),ราคา 1 (Price 1),ประเภทราคา 2 (Price type 2),ราคา 2 (Price 2),หน่วย (Unit),หมายเหตุ (Note)
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,TerraSAR-X (X band),Staring Spotlight (ST),0.25 m.,,ข้อมูลในคลัง (Standard Archive),"162,630",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"325,260",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,TerraSAR-X (X band),High Res Spotlight (HS),1 m.,,ข้อมูลในคลัง (Standard Archive),"139,230",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"278,460",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,TerraSAR-X (X band),Spotlight,2 m.,,ข้อมูลในคลัง (Standard Archive),"99,450",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"198,900",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,TerraSAR-X (X band),StripMap,3 m.,,ข้อมูลในคลัง (Standard Archive),"69,030",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"138,060",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,TerraSAR-X (X band),ScanSAR,18.5 m.,,ข้อมูลในคลัง (Standard Archive),"40,950",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"81,900",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,TerraSAR-X (X band),Wide ScanSAR,40 m.,,ข้อมูลในคลัง (Standard Archive),"40,950",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"81,900",บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,COSMO-SkyMed (X band),Spotlight-2,1 x 1 m.,"HH, VV",New Acquisition,"180,000",,,บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,COSMO-SkyMed (X band),StripMap Himage,3 x 3 – 5 x 5 m.,"HH, HV, VH, VV",New Acquisition,"93,000",,,บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,COSMO-SkyMed (X band),StripMap PingPong,10 x 12 – 20 x 20 m.,"2 ช่องสัญญาณ polarimetric: HH,VV / HH,HV / VV,VH",New Acquisition,"68,000",,,บาท/ภาพ,
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),TerraSAR-X / COSMO-SkyMed,COSMO-SkyMed (X band),ScanSAR Wide,14 x 22 – 30 x 30 m.,"HH, HV, VH, VV",New Acquisition,"78,000",,,บาท/ภาพ,
